Country,Pos.,Pts,movement_acceleration,movement_agility,movement_balance,power_jumping,pace,movement_reactions,movement_sprint_speed,power_stamina,power_strength
Argentina,16.0,4.0,64.72623966942149,63.771694214876035,65.18181818181819,65.09194214876032,68.01508120649652,63.828512396694215,64.80268595041322,63.34194214876033,64.34504132231405
Australia,28.0,1.0,64.58666666666667,61.82666666666667,62.63111111111111,63.51555555555556,68.67692307692307,57.04888888888889,65.4,61.946666666666665,64.93777777777778
Belgium,3.0,18.0,63.96350364963504,64.2956204379562,63.68978102189781,66.68613138686132,68.1587982832618,63.82116788321168,64.03284671532846,61.42700729927007,64.4087591240876
Brazil,6.0,10.0,66.61330049261083,65.51354679802955,64.11822660098522,65.18103448275862,68.81540504648075,68.01108374384236,66.9371921182266,65.28571428571429,67.43103448275862
Colombia,9.0,7.0,66.65935919055649,64.54637436762226,64.96795952782462,66.01349072512647,69.55740740740741,61.735244519392914,66.58684654300168,65.40809443507588,65.56155143338954
Costa Rica,30.0,1.0,69.76666666666667,66.86666666666666,65.5,69.06666666666666,73.29629629629629,65.7,70.6,65.96666666666667,66.43333333333334
Croatia,2.0,14.0,62.522935779816514,60.293577981651374,58.24770642201835,62.31192660550459,66.38775510204081,63.72477064220183,63.19266055045872,63.5045871559633,68.93577981651376
Denmark,11.0,6.0,62.48843930635838,61.94219653179191,62.23988439306358,64.78034682080924,67.08524590163934,60.130057803468205,63.982658959537574,63.53179190751445,66.32658959537572
Egypt,31.0,0.0,66.45161290322581,64.83870967741936,66.38709677419355,62.483870967741936,69.60714285714286,64.54838709677419,67.3225806451613,64.87096774193549,69.19354838709677
England,4.0,10.0,65.63502755664422,63.11267605633803,64.3447642375995,64.61726883037355,68.4753086419753,57.727495407225966,65.4182486221678,63.296387017758725,64.58420085731782
France,1.0,19.0,64.25051124744377,62.63496932515337,64.079754601227,64.91002044989776,67.4878612716763,61.82208588957055,64.2719836400818,61.91002044989775,65.51022494887526
Germany,23.0,3.0,63.25854513584575,62.491673970201575,62.08851884312007,65.21472392638037,67.31224899598394,61.91761612620508,63.930762489044696,62.73794916739702,66.56529360210342
Iceland,29.0,1.0,64.66037735849056,63.698113207547166,64.45283018867924,67.15094339622641,67.34693877551021,62.339622641509436,66.26415094339623,68.11320754716981,68.32075471698113
Iran,18.0,4.0,66.76470588235294,65.47058823529412,62.94117647058823,63.529411764705884,75.14285714285714,65.70588235294117,67.3529411764706,59.0,64.6470588235294
Japan,15.0,4.0,61.753246753246756,63.2034632034632,66.04545454545455,63.63852813852814,66.12285012285012,58.6948051948052,61.72943722943723,61.66883116883117,60.75757575757576
Mexico,12.0,6.0,63.94166666666667,63.46111111111111,66.55,64.75,67.7,60.81944444444444,63.575,61.725,62.022222222222226
Morocco,27.0,1.0,70.78481012658227,71.46835443037975,68.0886075949367,62.88607594936709,70.92207792207792,64.65822784810126,69.58227848101266,64.13924050632912,64.0
Nigeria,21.0,3.0,73.43650793650794,67.62698412698413,65.85714285714286,67.9920634920635,74.8048780487805,61.96825396825397,74.4047619047619,66.93650793650794,70.5079365079365
Panama,32.0,0.0,65.0625,62.6875,61.3125,64.3125,64.9375,62.375,65.0,66.0625,71.8125
Peru,20.0,3.0,68.34482758620689,66.06896551724138,68.65517241379311,66.82758620689656,69.6923076923077,62.275862068965516,67.72413793103448,62.724137931034484,61.241379310344826
Poland,25.0,3.0,61.782738095238095,61.75,61.955357142857146,64.75,66.16549295774648,59.17261904761905,61.839285714285715,61.49107142857143,65.61309523809524
Portugal,13.0,5.0,66.04143646408839,66.86187845303867,65.83149171270718,65.75690607734806,69.48136645962732,67.80386740331491,65.92541436464089,64.92817679558011,64.55524861878453
Russia,8.0,8.0,62.384364820846905,60.498371335504885,61.899022801302934,61.71335504885994,67.35856573705179,62.08794788273616,62.328990228013026,58.60586319218241,63.387622149837135
Saudi Arabia,26.0,3.0,63.66465256797583,62.66767371601208,65.25679758308156,64.38972809667673,67.75087719298246,56.57703927492447,63.794561933534744,61.012084592145015,62.5558912386707
Senegal,17.0,4.0,68.93798449612403,64.45736434108527,61.674418604651166,70.16279069767442,71.41935483870968,63.27131782945737,71.2015503875969,67.9922480620155,71.65116279069767
Serbia,22.0,3.0,61.666666666666664,59.77272727272727,58.78787878787879,64.46969696969697,64.72268907563026,66.17424242424242,62.25,64.67424242424242,70.9469696969697
Spain,10.0,6.0,64.09861932938855,64.20019723865877,64.67948717948718,65.26725838264299,66.69487750556793,65.2741617357002,64.34319526627219,63.77514792899408,64.4240631163708
Sweden,7.0,9.0,62.91032608695652,62.41304347826087,61.203804347826086,62.89945652173913,66.88449848024317,61.0,63.74184782608695,64.0054347826087,66.72282608695652
Switzerland,14.0,5.0,61.741379310344826,59.418103448275865,62.327586206896555,64.4396551724138,66.01522842639594,59.1551724137931,62.05172413793103,60.43103448275862,64.27586206896552
Tunisia,24.0,3.0,65.58064516129032,65.58064516129032,63.54838709677419,63.87096774193548,66.23333333333333,63.03225806451613,65.61290322580645,64.96774193548387,68.38709677419355
Uruguay,5.0,12.0,65.59477124183006,63.51633986928105,64.4640522875817,65.44444444444444,68.3623188405797,65.61437908496733,65.97385620915033,64.19607843137256,66.3921568627451
