Country,Pos.,movement_acceleration,movement_agility,movement_balance,power_jumping,pace,movement_reactions,movement_sprint_speed,power_stamina,power_strength
Argentina,-0.04475633082025723,-0.15689814963901716,-0.0004365410717166196,0.5732704720488134,0.06457544098218668,-0.1567941009233288,0.45162123782522107,-0.2501846819799033,-0.08568222862002273,-0.5870615133055803
Australia,1.2359632895747996,-0.20695572902142767,-0.7914413144608868,-0.5156353437548421,-0.7823892032490863,0.10762872218711254,-1.882287076532861,-0.04236296117825593,-0.6956190037979383,-0.37864739137128933
Belgium,-1.4322025862482355,-0.4304519036221947,0.2126340366389706,-0.06368543695805381,0.9211051315453092,-0.09937543814975083,0.4490928642271781,-0.5180325832415886,-0.922785153284965,-0.564657475919643
Brazil,-1.1120226811494711,0.5198924552186867,0.7079409361949328,0.11921948700654898,0.11244317678625397,0.16295582519547036,1.8914855652862277,0.4924677722250202,0.7640267529463826,0.4980152504073815
Colombia,-0.791842776050707,0.5364113154793289,0.3146107698192021,0.481973460813029,0.5597071970427415,0.4594048227549454,-0.2689933062401785,0.37057306646871874,0.8175245421681877,-0.1593201717921307
Costa Rica,1.4494165596406423,1.6508409514468507,1.2582283992414292,0.7091034088372441,2.2001246468289097,1.953186947266162,1.0958871727321893,1.766857747620006,1.0617012298637187,0.14721008717911024
Croatia,-1.5389292212811567,-0.9471087002511743,-1.4149185855115936,-2.3869262159171947,-1.4290777565904937,-0.8069526688364845,0.41590778809204465,-0.8103560849200755,-0.014582884823549587,1.0271039787595817
Denmark,-0.5783895059848642,-0.9594807917334877,-0.7444575712911811,-0.6826514050941146,-0.10283921936815926,-0.5282871830694164,-0.8215842603072696,-0.5354942615310084,-0.0026904817507685803,0.10967755106908622
Egypt,1.5561431946735638,0.46190352339775653,0.4334978394098554,1.0878081404363324,-1.336695090931137,0.4792754121137592,0.6994405372123299,0.6265548691218472,0.5827226501544093,1.1177388803336459
England,-1.325475951215314,0.16903681563746337,-0.26844637447156183,0.21592920049761063,-0.19045814022596844,0.027078578035085826,-1.6486744882377924,-0.03601377172960225,-0.10559639614644811,-0.502969799305925
France,-1.6456558563140782,-0.3275172004410679,-0.46272038616619166,0.10279565505679868,-0.03316787123530578,-0.36743200371333723,-0.23909787094727575,-0.43483037622195914,-0.7116386899211138,-0.17736725511797063
Germany,0.7023301144101926,-0.6832838701831192,-0.5209958125866123,-0.7472698905088744,0.13054391917676064,-0.4375936175161853,-0.2062112639996723,-0.5535504479020186,-0.3497143398487232,0.19360909519088118
Iceland,1.3426899246077209,-0.18051953624431477,-0.030360501830782316,0.26206293493245475,1.1708404057752069,-0.42373415977365153,-0.06093409430902853,0.2582985354217459,2.000049419338861,0.8108528693413841
Iran,0.16869693924558557,0.5741936966217556,0.6904705264760829,-0.3832673517218352,-0.7749445070660634,2.6909354245242336,1.0979121926203266,0.6371181195016359,-1.9837376493675096,-0.48086809168560896
Japan,-0.15148296585317864,-1.2231561362654906,-0.23152501219856644,0.9419598719031296,-0.7163182087122517,-0.9127890106932932,-1.3156748234050846,-1.3194510722255848,-0.8170732182197735,-1.8484627292295743
Mexico,-0.4716628709519428,-0.4382836940604329,-0.12674463261430294,1.1573521002390714,-0.11914402962285522,-0.2826771340973349,-0.5842605783462517,-0.6773298445545715,-0.7925193317734762,-1.4037959974011924
Morocco,1.1292366545418782,2.0159960750128167,3.1296450740821573,1.8141890916783985,-1.1205974657428566,1.0046257376423444,0.737253587226456,1.41276489224664,0.26285223307670147,-0.7083826899571285
Nigeria,0.48887684434434975,2.9670222118631857,1.5674346832120196,0.8615689501303847,1.6227593613139848,2.5559040972519695,-0.18877901566862834,3.0906373688011546,1.485661848503563,1.5798954485024752
Panama,1.6628698297064852,-0.036299051970691804,-0.44135718511986627,-1.07855506282481,-0.35420504412810183,-1.3863668241615326,-0.048755319038381977,-0.18153378493197067,1.1035942288005112,2.0385975448552776
Peru,0.38215020931142835,1.140901197810124,0.9338188979393413,2.056057604675254,0.9971063052690567,0.5133009507662268,-0.08288388698072505,0.7662675147700366,-0.3557518436078692,-1.6783508832150271
Poland,0.9157833844760354,-1.2125791252125826,-0.8226201526984227,-0.8041170884971586,-0.11914402962285522,-0.8957521030986444,-1.1511857890931012,-1.2812318119144328,-0.8947798819732258,-0.14119667575967076
Portugal,-0.3649362359190214,0.31479456064953426,1.2562811261350746,0.8506183863910943,0.4218488024981368,0.429024511411021,1.820150639464597,0.1404429136695065,0.607731263964941,-0.5131497963625049
Russia,-0.8985694110836284,-0.9968068986262798,-1.3316331222256685,-0.828166416956834,-1.7506796705536392,-0.41908889006135647,-0.14757398092496854,-1.1108503604860798,-2.1560323228025005,-0.9237029908383193
Saudi Arabia,1.0225100195089567,-0.5376342486918534,-0.4494201481804409,0.6052794420472909,-0.3127117532637764,-0.2623503889917632,-2.044722901455932,-0.6009383066671016,-1.1041662648860928,-1.2161507826663795
Senegal,0.061970304212664175,1.3536357418720715,0.2784121278333446,-0.9240507381306569,2.789052707976943,1.2033006357394986,0.2598051241882253,1.9761534050480711,1.947172665429669,1.9818692088433356
Serbia,0.5956034793772712,-1.2542079118336664,-1.6267384115913777,-2.1563247338901728,-0.26974589173011326,-1.472189304719015,1.2591467306835151,-1.138333198238746,0.4967252916331304,1.734265431568184
Spain,-0.6851161410177856,-0.38199293425437586,0.17382728235632777,0.3588236011483928,0.1587697536580704,-0.6842493818281171,0.949290910494783,-0.410053924527564,0.10369122484862185,-0.5592763860872342
Sweden,-1.0052960461165499,-0.8081719383495726,-0.5529733002660532,-1.1249576188705483,-1.113408320791009,-0.6084909330429652,-0.5221037178908735,-0.6192789710594786,0.20435981873002862,0.24899963883661944
Switzerland,-0.2582096008861,-1.2274123710200955,-1.7709570053880723,-0.645211192442499,-0.28588681823741413,-0.9557866421154493,-1.157191851774467,-1.2073187358752855,-1.3581690295617226,-0.6113858706313366
Tunisia,0.809056749443114,0.14953267788372115,0.7352285320311618,-0.124047000680748,-0.5914325195965323,-0.8686481309338321,0.17750799185005206,0.03171183211000745,0.6250269408058683,0.8341796302884974
Uruguay,-1.2187493161823926,0.15459896852749636,-0.10428417369638364,0.26685368840655516,0.25396869181404336,-0.01806374916228042,1.066411883249278,0.1572971421808268,0.2876986101210248,0.13273188547092069
